epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,726.718,1.78532,1.72752,1.21593,0.91809,0.65257,0.57746,0.60876,0.24231,0.48723,0.35243,0.34943,0.09697,1.89491,1.88475,1.28524,1.0375,0.0015974,0.0015974,0.0015974
63,738.225,1.86616,1.82218,1.23999,0.94981,0.66544,0.57895,0.61317,0.28699,0.58775,0.3615,0.41232,0.13957,1.69884,1.65721,1.2674,0.99449,0.0015908,0.0015908,0.0015908
64,749.709,1.84419,1.81323,1.18881,0.93812,0.726,0.55869,0.63292,0.28303,0.53965,0.42377,0.41499,0.14048,1.74589,1.70593,1.27334,0.99918,0.0015842,0.0015842,0.0015842
65,761.193,1.7812,1.75781,1.15991,0.96173,0.62394,0.53052,0.5921,0.27855,0.63082,0.31925,0.38154,0.13356,1.69293,1.57185,1.25557,0.98345,0.0015776,0.0015776,0.0015776
66,772.431,1.79739,1.83251,1.16661,0.94876,0.73864,0.56808,0.63503,0.30717,0.61558,0.3662,0.41307,0.15063,1.6305,1.67574,1.2753,0.962,0.001571,0.001571,0.001571
67,783.69,1.75077,1.77115,1.13455,0.93317,0.71593,0.5798,0.65022,0.29956,0.51123,0.38028,0.39019,0.12788,1.67237,1.72575,1.24,0.97941,0.0015644,0.0015644,0.0015644
68,794.945,1.78643,1.83029,1.23395,0.93285,0.72921,0.48826,0.60381,0.27667,0.56008,0.34742,0.39914,0.13745,1.76698,1.67461,1.28751,1.00392,0.0015578,0.0015578,0.0015578
69,806.362,1.81193,1.78635,1.20388,0.95433,0.67745,0.49765,0.58272,0.27173,0.46015,0.33803,0.33464,0.11401,1.69414,1.7231,1.44883,0.98588,0.0015512,0.0015512,0.0015512
70,817.795,1.78003,1.97399,1.17971,0.92286,0.69331,0.44131,0.54967,0.23765,0.56423,0.29577,0.3246,0.10418,1.9092,1.75049,1.34956,1.02204,0.0015446,0.0015446,0.0015446
71,829.004,1.71098,1.78293,1.14687,0.92572,0.78646,0.49765,0.62786,0.26751,0.54209,0.37089,0.36822,0.10714,1.87353,1.72788,1.56378,1.03211,0.001538,0.001538,0.001538
72,840.151,1.73631,1.72086,1.15141,0.92331,0.67842,0.55399,0.62614,0.29527,0.47577,0.34272,0.35739,0.13118,1.66928,1.72054,1.27113,0.98137,0.0015314,0.0015314,0.0015314
73,851.35,1.76043,1.7742,1.16081,0.93349,0.74505,0.56338,0.64491,0.29324,0.55723,0.38028,0.39018,0.11764,1.71542,1.63475,1.27707,0.99634,0.0015248,0.0015248,0.0015248
74,862.789,1.79497,1.81249,1.21128,0.95457,0.69189,0.46009,0.55322,0.26067,0.51836,0.30516,0.35426,0.1292,1.68003,1.68177,1.46836,0.98366,0.0015182,0.0015182,0.0015182
75,874.141,1.79284,1.86047,1.17331,0.93772,0.70008,0.59624,0.6359,0.27601,0.54696,0.3662,0.3972,0.13309,1.76211,1.65301,1.21803,1.00534,0.0015116,0.0015116,0.0015116
76,885.427,1.78049,1.74765,1.20658,0.9274,0.62285,0.5446,0.5958,0.28121,0.38414,0.37089,0.36592,0.1447,1.64851,1.70549,1.25817,0.96668,0.001505,0.001505,0.001505
77,896.566,1.78334,1.80603,1.21547,0.92961,0.68578,0.5446,0.62018,0.27478,0.59824,0.30047,0.35893,0.11136,1.76237,1.59411,1.24042,1.00408,0.0014984,0.0014984,0.0014984
78,907.821,1.83858,1.75861,1.19391,0.93809,0.66675,0.62911,0.64192,0.28055,0.48003,0.31455,0.3192,0.08962,1.69395,1.72524,1.21185,0.98686,0.0014918,0.0014918,0.0014918
79,918.997,1.7355,1.8413,1.11122,0.9267,0.6769,0.43662,0.52405,0.23644,0.4973,0.26761,0.28537,0.10327,1.84455,1.85227,1.40031,1.01888,0.0014852,0.0014852,0.0014852
80,930.732,1.72545,1.81112,1.10546,0.9393,0.71107,0.5446,0.63636,0.28493,0.51038,0.37683,0.40153,0.13606,1.72944,1.58264,1.19243,0.99728,0.0014786,0.0014786,0.0014786
81,942.24,1.78962,1.71508,1.12647,0.95443,0.7463,0.53052,0.63746,0.27299,0.48274,0.31925,0.35264,0.10647,1.80021,1.67868,1.29255,1.00661,0.001472,0.001472,0.001472
82,953.664,1.73808,1.72157,1.12761,0.93591,0.73703,0.60094,0.68056,0.28988,0.5423,0.3662,0.3821,0.12188,1.73628,1.68148,1.17078,0.99037,0.0014654,0.0014654,0.0014654
83,965.183,1.76114,1.80245,1.17558,0.92347,0.71219,0.5493,0.61648,0.25933,0.38966,0.38498,0.34062,0.11327,1.84988,1.77806,1.2252,1.02308,0.0014588,0.0014588,0.0014588
84,976.692,1.77778,1.71076,1.15557,0.95938,0.75403,0.59008,0.67354,0.31464,0.54456,0.3662,0.38908,0.12323,1.63288,1.62874,1.26976,0.95915,0.0014522,0.0014522,0.0014522
